source,appid,game_name,is_dlc,player_type,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,345800,Soundtrack,True,unknown,18950270,english,2015-11-08T11:14:42+00:00,2015-11-08T11:14:42+00:00,False,75,11,8,0.436284810304641724,,False,False,,"I do like the music, but It is a pretty skimpy soundtrack for a $10 price tag. Also, most of my favorite game producers (i.e. Paradox) do not require an extra purchase to access the soundtrack files so this leaves a bad taste in my mouth.",76561197963970518,0,6,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,16215706,english,2015-06-06T02:37:57+00:00,2015-06-06T02:37:57+00:00,True,10,0,0,0.517063617706298828,,False,False,,"I fell in love with a few min of playing this game. I happen to love turn base games and this game has it. I also love the graphics. It’s just an odd ball looking game with some really eye catching art work to it. The learning curve is not all that hard but playing it, becomes ever so intense as to the enemies you'll meet.",76561198013026684,0,11,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,40139411,english,2018-02-16T22:50:38+00:00,2018-02-16T22:50:38+00:00,True,3,0,0,0.510207593441009521,,False,False,,One of the best soundstrack in gaming lately. Stuart Chatwood knocks this one out of the park. The Cove is one of my personal favorite. I highly recommend the support and purchase of this soundtrack.,76561197967596949,1204,138,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,131007940,english,2023-01-17T03:10:43+00:00,2023-01-17T03:10:43+00:00,True,0,0,0,0.5,,False,False,,Now you can take the Doom and Gloom of Darkest Dungeon with you everywhere you go,76561198050146637,242,173,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,51056845,english,2019-06-05T03:37:16+00:00,2019-06-05T03:37:16+00:00,True,0,0,0,0.491071432828903198,,False,False,,"I can not find this soundtrack in my library and I also can't find it anywhere in my Mac.
please tell me where can I find them on Mac!",76561198214918075,285,42,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,70156942,english,2020-06-01T18:04:02+00:00,2020-06-01T18:04:02+00:00,True,0,0,0,0.471698105335235596,,False,False,,"I got this DLC with the Bundle that was on sale, and I definitely enjoy having this music. I love the soundtracks in the game, and that is all I can really say.",76561198243925948,0,320,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,41008363,english,2018-03-24T05:16:49+00:00,2018-03-24T05:16:49+00:00,True,0,0,0,0.452698796987533569,,True,False,,"Eggcliptic .....Ex with the most place. meant for taste. Liked the smoothness of serreal and tones.

Very balmy yet I shall buy into it...mmmmmm nice!!!",76561198190614913,0,1,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,63680709,english,2020-02-17T17:47:21+00:00,2020-02-17T17:47:21+00:00,False,7,27,0,0.431110858917236328,,False,False,,i paid for this and now its mysteriously disappeared from my system even though it says its installed somewhere... id like my money back if i cant access it in my music on steam like every other soundtrack on this platform. major fail.,76561197998962400,0,45,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,70013293,english,2020-05-29T21:46:55+00:00,2020-05-29T21:46:55+00:00,False,2,0,0,0.389177322387695312,,False,False,,With the Butcher's Circus update came the soundtrack update which screwed my music library by removing the playlists I had. I hope they fix it ASAP or if they can't at least give me a refund.,76561198119196550,0,14,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,62494737,english,2020-01-27T05:57:19+00:00,2020-01-27T05:57:19+00:00,False,2,7,3,0.372510164976119995,,False,False,,"Everytime i open the soundtrack it just opens the game, i have no idea how to just open the music? anyone know?",76561198987258200,0,5,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,64416236,english,2020-03-02T17:03:13+00:00,2020-03-02T17:03:13+00:00,True,0,0,0,0.5,,False,False,,"A great soundtrack that compliments a great game, worth picking up for at least one listen.",76561198899766627,0,29,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,29466070,english,2017-01-24T17:07:23+00:00,2017-01-24T17:07:23+00:00,True,3,5,0,0.500263869762420654,,False,False,,"Pretty great quality soundtrack. Only 14 tracks but they are quite dark, maybe the darkest.",76561198013550198,0,88,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,59953957,english,2019-12-16T11:40:16+00:00,2019-12-16T11:40:16+00:00,False,2,2,0,0.288843452930450439,,False,False,,I like the soundtrack for Darkest Dungeon. I love Red Hook. I only own this because I bought a bundle of DLC. I would never pay $10 for it.,76561198053907573,0,48,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,60071536,english,2019-12-18T15:00:07+00:00,2019-12-18T15:00:07+00:00,False,2,4,0,0.283043861389160156,,False,False,,"i bought this as part of the bundle only to realize that the soundtrack are not new additions to the game, but a $10 dlc that only allows users to take media soundtrack from the game in steam folders? What for?

Also this soundtrack is more expensive than the base game which i bought at $7 steam discount.

What the fuck",76561198005163922,0,30,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,14355623,english,2015-02-06T18:04:02+00:00,2015-02-06T18:04:02+00:00,True,78,5,0,0.782612860202789307,,False,False,,"Amazing soundtrack, perfectly suits game's dark fantasy atmosphere.",76561197996919171,0,5,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,168561430,english,2024-06-30T05:44:42+00:00,2024-06-30T05:44:42+00:00,True,0,0,0,0.5,,False,False,,"Simple, atmospheric & impactful.  An artful epic.",76561198056046527,0,17,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,114262640,english,2022-04-22T05:56:46+00:00,2022-04-22T05:56:46+00:00,True,0,0,0,0.5,,False,False,,I'm jammin'. TCoM songs are my personal favorites. It's a progressive soundtrack!,76561199234898372,0,29,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,112968146,english,2022-03-28T13:18:56+00:00,2022-03-28T13:18:56+00:00,True,0,0,0,0.5,,False,False,,One of the best OSTs out there. Absolutely iconic.,76561197984821036,0,186,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,75396806,english,2020-09-03T22:55:26+00:00,2020-09-03T22:55:26+00:00,True,0,0,0,0.415057480335235596,,False,False,,"Bought this soundtrack just so I could listen to Cove Battle on loop

10/10",76561198181593899,1230,33,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,122191644,english,2022-09-13T16:38:58+00:00,2022-09-13T16:38:58+00:00,True,4,0,0,0.546186089515686035,,False,False,,Absolute banger of a soundtrack. Thanks Stuart :),76561198114054978,452,203,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,59851271,english,2019-12-14T18:24:09+00:00,2019-12-14T18:24:09+00:00,True,3,2,0,0.53468698263168335,,False,False,,Bought it as part of a bundle years ago. Can't find it now. Where is it stored?,76561198070828583,0,12,0,0,,1970-01-01T00:00:00+00:00
steam,345800,Soundtrack,True,unknown,50722099,english,2019-05-19T14:58:42+00:00,2019-05-19T14:58:42+00:00,True,1,0,0,0.523809552192687988,,False,False,,"Great soundtracks, they suit the game very well and enhance the atmosphere a lot.

8/10",76561198018927791,611,269,0,0,,1970-01-01T00:00:00+00:00
